system:time_start,Moonsar lake Viramgam
"Jan 13, 2011",0.608
"Jan 29, 2011",0.544
"Feb 14, 2011",0.542
"Mar 2, 2011",0.349
"Apr 3, 2011",0.208
"Apr 19, 2011",0.235
"May 5, 2011",0.096
"Sep 26, 2011",0.414
"Oct 28, 2011",0.436
"Nov 13, 2011",0.463
"Dec 15, 2011",0.156
"Dec 31, 2011",0.463
"Jan 16, 2012",0.402
"Feb 1, 2012",0.465
"Feb 17, 2012",0.432
"Mar 4, 2012",0.273
"Mar 20, 2012",0.059
"Apr 5, 2012",0.321
"Apr 21, 2012",0.357
"May 7, 2012",0.272
"May 23, 2012",0.186
"Jun 8, 2012",0.01
"Jun 24, 2012",0.116
"Sep 28, 2012",0.454
"Oct 14, 2012",0.475
"Oct 30, 2012",0.501
"Nov 15, 2012",0.529
"Dec 1, 2012",0.548
"Dec 17, 2012",0.504
"Jan 2, 2013",0.552
"Jan 18, 2013",0.537
"Feb 3, 2013",0.428
"Feb 19, 2013",0.46
"Mar 7, 2013",0.453
"Mar 23, 2013",0.341
"Apr 8, 2013",0.249
"Sep 15, 2013",0.339
"Oct 17, 2013",0.429
"Nov 2, 2013",0.383
"Nov 18, 2013",0.533
"Dec 4, 2013",0.519
"Dec 20, 2013",0.461
"Jan 5, 2014",0.447
"Jan 21, 2014",0.451
"Feb 6, 2014",0.52
"Feb 22, 2014",0.432
"Mar 10, 2014",0.502
"Mar 26, 2014",0.346
"Apr 11, 2014",0.29
"Apr 27, 2014",0.107
"May 13, 2014",0.451
"May 29, 2014",0.212
"Jun 30, 2014",0.098
"Nov 5, 2014",0.593
"Nov 21, 2014",0.471
"Dec 7, 2014",0.441
"Dec 23, 2014",0.478
"Jan 8, 2015",0.401
"Jan 24, 2015",0.503
"Feb 9, 2015",0.525
"Feb 25, 2015",0.407
"Mar 13, 2015",0.486
"Apr 14, 2015",0.336
"Apr 30, 2015",0.209
"May 16, 2015",0.169
"Jun 1, 2015",0.131
"Sep 5, 2015",0.084
"Oct 7, 2015",0.31
"Oct 23, 2015",0.568
"Nov 8, 2015",0.57
"Dec 10, 2015",0.457
"Dec 26, 2015",0.541
"Jan 11, 2016",0.549
"Jan 27, 2016",0.602
"Feb 12, 2016",0.366
"Feb 28, 2016",0.597
"Mar 15, 2016",0.076
"Mar 31, 2016",0.298
"Apr 16, 2016",0.301
"May 2, 2016",0.12
"May 18, 2016",0.066
"Jun 19, 2016",0.667
"Sep 23, 2016",0.368
"Oct 9, 2016",0.374
"Oct 25, 2016",0.543
"Nov 10, 2016",0.506
"Nov 26, 2016",0.548
"Dec 12, 2016",0.492
"Dec 28, 2016",0.552
"Jan 13, 2017",0.514
"Jan 29, 2017",0.579
"Feb 14, 2017",0.502
"Mar 2, 2017",0.522
"Mar 18, 2017",0.391
"Apr 3, 2017",0.492
"Apr 19, 2017",0.326
"May 5, 2017",0.388
"May 21, 2017",-0.056
"Jun 6, 2017",0.093
"Jul 8, 2017",0.095
"Sep 10, 2017",0.061
"Sep 26, 2017",0.232
"Oct 28, 2017",0.346
"Nov 13, 2017",0.436
"Nov 29, 2017",0.434
"Dec 15, 2017",0.558
"Dec 31, 2017",0.6
"Jan 16, 2018",0.652
"Feb 1, 2018",0.532
"Feb 17, 2018",0.337
"Mar 5, 2018",0.364
"Mar 21, 2018",0.242
"Apr 6, 2018",0.141
"Apr 22, 2018",0.346
"May 24, 2018",0.193
"Sep 29, 2018",0.536
"Oct 15, 2018",0.43
"Oct 31, 2018",0.43
"Nov 16, 2018",0.505
"Dec 2, 2018",0.159
"Dec 18, 2018",0.609
"Jan 3, 2019",0.558
"Jan 19, 2019",0.524
"Feb 4, 2019",-0.008
"Feb 20, 2019",0.496
"Mar 8, 2019",0.279
"Mar 24, 2019",0.285
"Apr 9, 2019",0.37
"Apr 25, 2019",0.396
"May 11, 2019",0.22
"May 27, 2019",0.3
"Jun 28, 2019",0.349
"Aug 31, 2019",0.52
"Oct 18, 2019",0.474
"Nov 19, 2019",0.527
"Dec 5, 2019",0.37
"Dec 21, 2019",0.584
