system:time_start,Saputara lake Saputara
"Jan 6, 2011",
"Jan 22, 2011",
"Jan 31, 2011",0.463
"Feb 16, 2011",0.209
"Mar 4, 2011",0.559
"Mar 20, 2011",0.408
"Apr 5, 2011",0.293
"May 7, 2011",0.223
"May 14, 2011",0.139
"May 23, 2011",0.244
"Sep 28, 2011",0.149
"Oct 14, 2011",0.571
"Nov 6, 2011",0.591
"Nov 15, 2011",0.61
"Dec 1, 2011",0.599
"Dec 17, 2011",0.543
"Jan 2, 2012",0.575
"Jan 18, 2012",0.17
"Jan 25, 2012",0.23
"Feb 19, 2012",0.342
"Mar 6, 2012",0.317
"Mar 22, 2012",0.272
"Apr 7, 2012",0.26
"Apr 23, 2012",0.295
"May 9, 2012",0.237
"May 25, 2012",0.108
"Jun 10, 2012",0.233
"Sep 30, 2012",0.54
"Oct 7, 2012",0.217
"Oct 16, 2012",0.621
"Nov 8, 2012",0.457
"Nov 17, 2012",0.582
"Dec 3, 2012",0.569
"Dec 10, 2012",0.571
"Jan 11, 2013",
"Jan 20, 2013",0.347
"Feb 5, 2013",0.457
"Feb 21, 2013",0.431
"Feb 28, 2013",0.23
"Mar 9, 2013",0.389
"Mar 25, 2013",0.378
"Apr 1, 2013",
"Apr 10, 2013",0.319
"Apr 17, 2013",
"Apr 26, 2013",0.265
"May 12, 2013",0.193
"May 28, 2013",0.098
"Sep 1, 2013",0.251
"Sep 8, 2013",0.226
"Oct 19, 2013",0.213
"Oct 26, 2013",
"Nov 4, 2013",0.653
"Nov 11, 2013",
"Nov 20, 2013",0.538
"Nov 27, 2013",
"Dec 6, 2013",0.582
"Dec 13, 2013",
"Dec 22, 2013",0.502
"Jan 7, 2014",0.514
"Jan 23, 2014",0.567
"Feb 8, 2014",0.286
"Feb 24, 2014",0.484
"Mar 3, 2014",
"Mar 12, 2014",0.239
"Mar 19, 2014",0.372
"Mar 28, 2014",0.415
"Apr 4, 2014",0.175
"Apr 13, 2014",0.303
"Apr 20, 2014",
"Apr 29, 2014",0.314
"May 6, 2014",0.162
"May 15, 2014",0.383
"May 31, 2014",0.262
"Jun 7, 2014",0.15
"Jun 23, 2014",
"Jul 2, 2014",0.628
"Aug 19, 2014",0.37
"Oct 6, 2014",0.681
"Oct 13, 2014",0.379
"Oct 22, 2014",0.614
"Oct 29, 2014",0.556
"Nov 7, 2014",0.554
"Nov 23, 2014",0.64
"Nov 30, 2014",0.58
"Dec 9, 2014",0.548
"Dec 25, 2014",0.547
"Jan 1, 2015",0.245
"Jan 10, 2015",0.391
"Jan 17, 2015",0.52
"Jan 26, 2015",0.154
"Feb 18, 2015",0.344
"Feb 27, 2015",0.36
"Mar 6, 2015",0.319
"Mar 15, 2015",0.448
"Mar 22, 2015",0.256
"Mar 31, 2015",0.287
"Apr 7, 2015",0.211
"Apr 16, 2015",0.367
"Apr 23, 2015",0.155
"May 2, 2015",0.237
"May 9, 2015",
"May 18, 2015",0.18
"Jun 3, 2015",0.178
"Jun 10, 2015",0.178
"Jul 5, 2015",0.237
"Sep 7, 2015",0.32
"Sep 23, 2015",0.472
"Oct 9, 2015",0.596
"Oct 16, 2015",0.556
"Oct 25, 2015",0.707
"Nov 1, 2015",0.608
"Nov 10, 2015",0.325
"Nov 17, 2015",0.32
"Nov 26, 2015",0.631
"Dec 3, 2015",0.632
"Dec 12, 2015",0.481
"Dec 19, 2015",0.545
"Dec 28, 2015",0.449
"Jan 4, 2016",
"Jan 13, 2016",0.27
"Jan 29, 2016",0.391
"Feb 14, 2016",0.403
"Feb 21, 2016",0.312
"Mar 1, 2016",0.459
"Mar 8, 2016",0.287
"Mar 17, 2016",0.346
"Mar 24, 2016",0.096
"Apr 2, 2016",0.295
"Apr 9, 2016",0.338
"Apr 18, 2016",0.257
"Apr 25, 2016",0.108
"May 4, 2016",0.212
"May 11, 2016",
"May 20, 2016",0.197
"May 27, 2016",0.138
"Jun 21, 2016",0.25
"Sep 9, 2016",0.526
"Sep 25, 2016",0.282
"Oct 11, 2016",0.58
"Oct 27, 2016",0.514
"Nov 12, 2016",0.578
"Nov 19, 2016",
"Nov 28, 2016",0.488
"Dec 14, 2016",0.526
"Dec 30, 2016",0.508
"Jan 15, 2017",0.404
"Jan 22, 2017",
"Jan 31, 2017",0.448
"Feb 16, 2017",0.524
"Feb 23, 2017",0.279
"Mar 4, 2017",0.414
"Mar 11, 2017",0.239
"Mar 20, 2017",0.322
"Mar 27, 2017",0.269
"Apr 5, 2017",0.317
"Apr 12, 2017",0.256
"Apr 21, 2017",0.309
"Apr 28, 2017",0.157
"May 7, 2017",0.301
"May 14, 2017",0.166
"May 23, 2017",0.151
"Sep 12, 2017",0.474
"Sep 28, 2017",0.218
"Oct 14, 2017",0.384
"Oct 30, 2017",0.598
"Nov 15, 2017",0.659
"Dec 1, 2017",0.568
"Dec 17, 2017",0.49
"Jan 2, 2018",0.574
"Jan 18, 2018",0.434
"Feb 3, 2018",0.485
"Feb 10, 2018",0.445
"Feb 19, 2018",0.392
"Feb 26, 2018",
"Mar 7, 2018",0.418
"Mar 23, 2018",0.337
"Apr 8, 2018",0.3
"Apr 24, 2018",0.29
"May 1, 2018",
"May 10, 2018",0.284
"May 17, 2018",
"May 26, 2018",0.242
"Aug 30, 2018",0.635
"Sep 15, 2018",0.241
"Oct 1, 2018",0.588
"Oct 8, 2018",0.332
"Oct 17, 2018",0.38
"Oct 24, 2018",
"Nov 2, 2018",0.182
"Nov 18, 2018",0.5
"Dec 4, 2018",0.466
"Dec 20, 2018",0.489
"Jan 5, 2019",0.55
"Jan 21, 2019",0.546
"Jan 28, 2019",0.537
"Feb 6, 2019",0.567
"Feb 22, 2019",0.495
"Mar 10, 2019",0.303
"Mar 26, 2019",0.316
"Apr 11, 2019",0.324
"Apr 27, 2019",0.308
"May 13, 2019",0.161
"May 29, 2019",0.183
"Jun 14, 2019",0.177
"Oct 4, 2019",0.385
"Nov 5, 2019",0.587
"Nov 21, 2019",0.658
"Dec 7, 2019",0.284
"Dec 23, 2019",0.535
