system:time_start,Sursagar lake Vadodara
"Jan 6, 2011",0.443
"Jan 22, 2011",0.396
"Apr 28, 2011",0.208
"May 14, 2011",0.237
"Oct 21, 2011",0.438
"Nov 6, 2011",0.64
"Nov 22, 2011",0.539
"Dec 8, 2011",0.529
"Dec 24, 2011",0.477
"Jan 9, 2012",0.468
"Jan 25, 2012",0.396
"Feb 10, 2012",0.355
"Feb 26, 2012",0.318
"Mar 13, 2012",0.312
"Mar 29, 2012",0.241
"Apr 14, 2012",0.309
"Apr 30, 2012",0.209
"Apr 30, 2012",0.224
"Jun 1, 2012",0.188
"Sep 21, 2012",0.405
"Oct 7, 2012",0.463
"Oct 23, 2012",0.481
"Nov 8, 2012",0.509
"Nov 24, 2012",0.357
"Dec 10, 2012",0.462
"Dec 26, 2012",0.367
"Jan 11, 2013",0.336
"Feb 12, 2013",0.479
"Feb 28, 2013",0.35
"Mar 16, 2013",0.313
"Apr 1, 2013",0.278
"Apr 17, 2013",0.239
"May 3, 2013",0.259
"May 19, 2013",0.294
"Jun 4, 2013",0.127
"Sep 8, 2013",0.368
"Oct 26, 2013",0.503
"Nov 11, 2013",0.562
"Nov 27, 2013",0.331
"Dec 13, 2013",0.318
"Dec 29, 2013",0.556
"Jan 14, 2014",0.548
"Jan 30, 2014",0.422
"Jan 30, 2014",0.433
"Mar 3, 2014",0.421
"Mar 19, 2014",0.333
"Apr 4, 2014",0.27
"Apr 20, 2014",0.275
"May 6, 2014",0.243
"May 22, 2014",0.269
"Jun 7, 2014",0.288
"Jun 23, 2014",0.168
"Oct 13, 2014",0.313
"Oct 29, 2014",0.157
"Nov 14, 2014",0.394
"Nov 30, 2014",0.478
"Jan 1, 2015",0.559
"Jan 17, 2015",0.439
"Feb 2, 2015",0.386
"Feb 18, 2015",0.318
"Mar 6, 2015",0.335
"Mar 22, 2015",0.408
"Apr 7, 2015",0.203
"Apr 23, 2015",0.253
"May 9, 2015",0.309
"May 25, 2015",0.204
"Sep 14, 2015",0.486
"Oct 16, 2015",0.406
"Nov 1, 2015",0.556
"Nov 17, 2015",0.476
"Dec 3, 2015",0.468
"Jan 4, 2016",0.467
"Jan 20, 2016",0.491
"Feb 5, 2016",0.396
"Feb 21, 2016",0.29
"Mar 8, 2016",0.391
"Mar 24, 2016",0.364
"Apr 9, 2016",0.324
"Apr 25, 2016",0.412
"May 11, 2016",0.231
"May 27, 2016",0.278
"Oct 18, 2016",0.564
"Nov 3, 2016",0.56
"Nov 19, 2016",0.386
"Dec 5, 2016",0.478
"Dec 21, 2016",0.397
"Jan 6, 2017",0.444
"Jan 22, 2017",0.499
"Feb 7, 2017",0.312
"Feb 23, 2017",0.324
"Mar 11, 2017",0.206
"Mar 27, 2017",0.251
"Apr 12, 2017",0.305
"Apr 28, 2017",0.292
"May 14, 2017",0.31
"May 30, 2017",0.24
"Jun 15, 2017",0.235
"Sep 19, 2017",0.305
"Oct 5, 2017",0.339
"Oct 21, 2017",0.514
"Nov 6, 2017",0.565
"Nov 22, 2017",0.5
"Nov 22, 2017",0.53
"Dec 8, 2017",0.581
"Dec 8, 2017",0.583
"Dec 24, 2017",0.538
"Jan 9, 2018",0.52
"Jan 25, 2018",0.37
"Feb 10, 2018",0.27
"Feb 26, 2018",0.321
"Mar 14, 2018",0.395
"Mar 30, 2018",0.25
"Apr 15, 2018",0.213
"May 1, 2018",0.199
"May 17, 2018",0.181
"Jun 2, 2018",0.191
"Jun 18, 2018",0.256
"Oct 8, 2018",0.433
"Oct 24, 2018",0.32
"Nov 9, 2018",0.509
"Nov 25, 2018",0.536
"Dec 11, 2018",0.498
"Dec 27, 2018",0.525
"Jan 12, 2019",0.459
"Jan 28, 2019",0.502
"Feb 13, 2019",0.198
"Mar 1, 2019",0.46
"Mar 17, 2019",0.364
"Apr 2, 2019",0.287
"Apr 18, 2019",0.241
"May 4, 2019",0.247
"May 20, 2019",0.269
"Jun 5, 2019",0.286
"Aug 24, 2019",0.289
"Sep 25, 2019",0.346
"Oct 11, 2019",0.396
"Nov 12, 2019",0.519
"Nov 28, 2019",0.545
"Dec 14, 2019",0.407
"Dec 30, 2019",0.483
