system:time_start,Umarwada village ponddist:Bharuch
"Jan 6, 2011",0.645
"Jan 22, 2011",0.535
"Apr 28, 2011",0.25
"May 14, 2011",0.531
"Oct 21, 2011",0.682
"Nov 6, 2011",0.612
"Nov 22, 2011",0.568
"Dec 8, 2011",0.629
"Dec 24, 2011",0.61
"Jan 9, 2012",0.583
"Jan 25, 2012",0.585
"Feb 10, 2012",0.479
"Feb 26, 2012",0.522
"Mar 13, 2012",0.39
"Mar 29, 2012",0.332
"Apr 14, 2012",0.384
"Apr 30, 2012",0.237
"Jun 1, 2012",0.124
"Sep 21, 2012",0.424
"Oct 7, 2012",0.152
"Oct 23, 2012",0.657
"Nov 8, 2012",0.653
"Nov 24, 2012",0.581
"Dec 10, 2012",0.611
"Dec 26, 2012",0.513
"Jan 11, 2013",0.44
"Feb 12, 2013",0.576
"Feb 28, 2013",0.426
"Mar 16, 2013",0.403
"Apr 1, 2013",0.386
"Apr 17, 2013",0.301
"May 3, 2013",0.296
"May 19, 2013",0.433
"Jun 4, 2013",0.366
"Sep 8, 2013",0.494
"Oct 26, 2013",0.727
"Nov 11, 2013",0.717
"Nov 27, 2013",0.22
"Dec 13, 2013",0.504
"Dec 29, 2013",0.626
"Jan 14, 2014",0.623
"Jan 30, 2014",0.552
"Mar 3, 2014",0.437
"Mar 19, 2014",0.482
"Apr 4, 2014",0.357
"Apr 20, 2014",0.399
"May 6, 2014",0.328
"May 22, 2014",0.442
"Jun 7, 2014",0.374
"Jun 23, 2014",0.143
"Oct 13, 2014",0.644
"Oct 29, 2014",0.671
"Nov 14, 2014",0.216
"Nov 30, 2014",0.666
"Jan 1, 2015",0.686
"Jan 17, 2015",0.615
"Feb 2, 2015",0.579
"Feb 18, 2015",0.436
"Mar 6, 2015",0.46
"Mar 22, 2015",0.525
"Apr 7, 2015",0.319
"Apr 23, 2015",0.334
"May 9, 2015",0.376
"May 25, 2015",0.11
"Sep 14, 2015",0.131
"Oct 16, 2015",0.687
"Nov 1, 2015",0.752
"Nov 17, 2015",0.73
"Dec 3, 2015",0.728
"Jan 4, 2016",0.628
"Jan 20, 2016",0.632
"Feb 5, 2016",0.51
"Feb 21, 2016",0.29
"Mar 8, 2016",0.403
"Mar 24, 2016",0.399
"Apr 9, 2016",0.371
"Apr 25, 2016",0.287
"May 11, 2016",0.35
"May 27, 2016",0.335
"Oct 18, 2016",0.717
"Nov 3, 2016",0.748
"Nov 19, 2016",0.73
"Dec 5, 2016",0.689
"Dec 21, 2016",0.572
"Jan 6, 2017",0.583
"Jan 22, 2017",0.595
"Feb 7, 2017",0.455
"Feb 23, 2017",0.429
"Mar 11, 2017",0.219
"Mar 27, 2017",0.333
"Apr 12, 2017",0.359
"Apr 28, 2017",0.359
"May 14, 2017",0.146
"May 30, 2017",0.395
"Jun 15, 2017",0.547
"Sep 19, 2017",0.162
"Oct 5, 2017",0.556
"Oct 21, 2017",0.718
"Nov 6, 2017",0.702
"Nov 22, 2017",0.687
"Dec 8, 2017",0.7
"Dec 24, 2017",0.671
"Jan 9, 2018",0.653
"Jan 25, 2018",0.452
"Feb 10, 2018",0.562
"Feb 26, 2018",0.511
"Mar 14, 2018",0.594
"Mar 30, 2018",0.375
"Apr 15, 2018",0.395
"May 1, 2018",0.302
"May 17, 2018",0.378
"Jun 2, 2018",0.415
"Jun 18, 2018",0.246
"Oct 8, 2018",0.429
"Oct 24, 2018",0.603
"Nov 9, 2018",0.685
"Nov 25, 2018",0.697
"Dec 11, 2018",0.633
"Dec 27, 2018",0.444
"Jan 12, 2019",0.53
"Jan 28, 2019",0.473
"Feb 13, 2019",0.493
"Mar 1, 2019",0.483
"Mar 17, 2019",0.39
"Apr 2, 2019",0.341
"Apr 18, 2019",0.354
"May 4, 2019",0.329
"May 20, 2019",0.312
"Jun 5, 2019",0.314
"Aug 24, 2019",0.362
"Sep 25, 2019",0.479
"Oct 11, 2019",0.754
"Nov 12, 2019",0.801
"Nov 28, 2019",0.76
"Dec 14, 2019",0.749
"Dec 30, 2019",0.697
